82.240677
cost = 0.000569, w= 2.009734
cost = 0.000554, w= 2.009612
cost = 0.000540, w= 2.009490
cost = 0.000527, w= 2.009370
cost = 0.000514, w= 2.009252
cost = 0.000501, w= 2.009135
cost = 0.000488, w= 2.009019
cost = 0.000476, w= 2.008905
cost = 0.000464, w= 2.008792
cost = 0.000452, w= 2.008681
cost = 0.000441, w= 2.008570
cost = 0.000430, w= 2.008461
cost = 0.000419, w= 2.008354
------------------------------
2.008354
